Gemeinde,Postleitzahl,Lon,Lat,Bundesland,SchÅler
Bad Tatzmannsdorf,7431,47.3333,16.2333,Burgenland,165
Langenstein,4222,48.2718,14.4495,Oberîsterreich,164
Wei·kirchen an der Traun,4616,48.2192,14.0562,Oberîsterreich,162
Ligist,8563,46.9974,15.2375,Steiermark,162
Tragî·-Sankt Katharein,8611,47.45,15.1,Steiermark,161
Puchberg am Schneeberg,2733,47.8004,16.0294,Niederîsterreich,161
Sankt Veit in der SÅdsteiermark,8421,46.8008,15.6481,Steiermark,161
Neudau,8292,47.1717,16.1195,Burgenland,161
Koppl,5023,47.7994,13.044,Salzburg,161
Krummnu·baum,3374,48.1438,15.0606,Niederîsterreich,159
Gampern,4851,47.9875,13.5803,Oberîsterreich,159
Spitz,3620,48.3667,15.3833,Niederîsterreich,158
Kirchdorf in Tirol,6382,47.5563,12.4451,Tirol,158
Kolsass,6114,47.3,11.6333,Tirol,158
HofstÑtten an der Raab,8200,47.1167,15.6167,Steiermark,158
Andelsbuch,6866,47.4117,9.8933,Vorarlberg,158
Pottenstein,2563,47.9582,16.0948,Niederîsterreich,157
Mauerbach,1140,48.2077,16.1754,Niederîsterreich,157
Liebenfels,9300,46.778,14.3445,KÑrnten,157
Thiersee,6335,47.5833,12.0667,Tirol,156
Sankt Lorenzen im MÅrztal,8605,47.4565,15.3184,Steiermark,156
Eisenkappel-Vellach,9135,46.5782,14.5256,KÑrnten,156
Weitersfeld,2081,48.7667,15.9,Niederîsterreich,155
Mautern in Steiermark,8774,47.3833,14.85,Steiermark,155
Anthering,5102,47.8708,13.0172,Salzburg,155
Sipbachzell,4621,48.0529,14.1292,Oberîsterreich,154
Pulkau,3741,48.6955,15.8287,Niederîsterreich,154
GrÅnbach,4261,48.5667,14.4167,Oberîsterreich,154
Tannheim,6675,47.4993,10.5164,Tirol,153
St. Aegidi,4725,48.373,13.7414,Oberîsterreich,153
PfaffstÑtten,2511,48.0174,16.2635,Niederîsterreich,153
MÅnster,6232,47.4216,11.8336,Tirol,153
Gro·-Siegharts,3812,48.8167,15.4333,Niederîsterreich,153
Eberau,7521,47.1284,16.4679,Burgenland,152
Deutsch Goritz,8483,46.7468,15.8639,Steiermark,152
öbelbach,8122,47.2333,15.2833,Steiermark,151
St. Georgen am LÑngsee,9300,46.778,14.3445,KÑrnten,150
Poggersdorf,9130,46.5782,14.5256,KÑrnten,150
Gîfis,6811,47.2336,9.6346,Vorarlberg,150
Strallegg,8190,47.396,15.7226,Steiermark,149
Vitis,3902,48.7833,15.1667,Niederîsterreich,148
Stubenberg,8222,47.2167,15.75,Steiermark,148
Gîtzens,6091,47.2361,11.3115,Tirol,148
St. Leonhard bei Freistadt,4272,48.4773,14.7255,Oberîsterreich,147
St. Veit im Pongau,5621,47.3333,13.0833,Salzburg,147
Randegg,3263,47.9954,14.8739,Niederîsterreich,147
Raabs an der Thaya,2094,48.8177,15.6256,Niederîsterreich,147
Lunz am See,3293,47.8612,15.03,Niederîsterreich,147
Kopfing im Innkreis,4723,48.4019,13.6944,Oberîsterreich,147
